ID_Cliente,Meses_Suscrito,Pago_Mensual_USD,Llamadas_Soporte,Dias_Retraso_Pago,Horas_Uso_Mensual,Churn
1001,39,25.89,2,0,87.3,0
1002,52,29.84,0,0,17.6,0
1003,29,26.78,1,0,91.2,0
1004,15,80.16,3,2,20.6,1
1005,43,41.51,2,3,12.7,1
1006,8,15.21,3,0,117.2,0
1007,21,97.22,1,0,115.1,0
1008,39,89.54,0,2,12.0,1
1009,58,93.5,2,0,56.0,0
1010,19,99.54,1,0,26.4,1
1011,23,25.65,1,2,60.8,0
1012,11,45.66,0,1,100.5,0
1013,11,78.24,2,1,114.3,0
1014,24,72.64,1,1,77.9,0
1015,53,23.85,6,0,45.7,1
1016,36,83.42,3,0,74.4,0
1017,40,30.2,0,0,40.9,0
1018,24,30.14,2,0,109.6,0
1019,3,58.33,1,0,105.1,0
1020,22,63.36,2,1,69.2,0
1021,53,62.21,3,1,42.4,0
1022,2,18.23,2,0,38.7,1
1023,24,88.97,2,1,8.8,1
1024,44,33.9,2,1,98.8,0
1025,30,21.66,0,0,56.8,0
1026,38,89.99,1,0,42.4,0
1027,2,96.01,0,0,59.2,0
1028,21,87.59,2,0,99.2,0
1029,33,82.86,2,0,19.3,1
1030,12,68.97,1,0,103.6,0
1031,58,59.58,0,0,108.2,0
1032,22,17.83,0,0,113.9,0
1033,44,46.76,0,2,50.7,0
1034,25,43.54,4,0,30.0,1
1035,49,33.38,1,1,48.0,0
1036,27,75.11,1,0,43.3,0
1037,59,54.63,1,0,25.3,0
1038,42,17.29,3,2,74.8,0
1039,28,29.82,3,0,59.8,0
1040,16,71.49,3,0,104.6,0
1041,15,16.85,1,1,8.7,1
1042,47,86.61,1,0,79.0,0
1043,51,54.56,5,0,92.7,0
1044,44,53.25,1,0,92.3,0
1045,55,63.32,1,1,106.9,0
1046,52,84.22,1,0,88.8,0
1047,57,41.3,0,0,111.7,0
1048,3,71.02,0,0,43.3,0
1049,37,60.92,0,0,62.9,0
1050,51,34.03,3,1,6.6,1
1051,7,89.08,0,0,5.8,1
1052,21,81.77,0,0,32.6,0
1053,9,69.26,0,0,16.6,1
1054,39,86.55,1,2,34.9,1
1055,18,88.06,1,0,25.4,1
1056,4,73.75,0,1,8.3,1
1057,25,85.33,2,1,109.6,0
1058,14,72.77,0,0,5.9,1
1059,50,71.21,1,0,89.6,0
1060,58,65.68,0,0,22.5,0
1061,9,77.74,3,1,109.9,1
1062,26,24.27,2,0,107.7,0
1063,53,89.28,1,0,80.2,0
1064,2,88.47,1,1,82.3,1
1065,20,12.63,3,0,5.6,1
1066,28,84.32,1,0,118.3,0
1067,47,21.6,1,0,106.0,0
1068,7,40.16,1,0,107.9,0
1069,44,76.92,2,1,80.8,0
1070,8,24.47,1,0,44.7,0
1071,47,83.62,0,0,107.8,0
1072,35,84.89,1,2,38.5,1
1073,14,55.67,2,0,69.7,0
1074,17,10.57,1,3,16.5,1
1075,36,35.83,0,3,111.0,0
1076,50,65.52,5,0,21.2,1
1077,40,98.31,2,0,30.9,0
1078,4,66.86,0,1,69.2,0
1079,2,33.38,3,0,92.9,0
1080,6,67.06,3,0,76.2,1
1081,54,58.6,0,1,31.7,0
1082,42,80.19,2,0,5.1,1
1083,4,19.63,1,2,92.1,0
1084,54,78.49,1,0,118.3,0
1085,29,58.71,2,0,98.1,0
1086,18,96.67,2,0,57.9,1
1087,26,40.77,0,3,108.9,0
1088,44,66.94,1,0,52.1,0
1089,34,93.88,0,1,65.4,0
1090,10,19.23,1,0,59.9,0
1091,36,94.35,3,0,56.5,0
1092,14,71.91,0,0,94.1,0
1093,31,16.11,2,0,65.6,0
1094,48,37.09,3,0,41.4,0
1095,15,73.74,4,0,34.7,1
1096,8,16.06,1,0,9.3,1
1097,14,62.4,3,2,72.1,1
1098,23,41.13,0,0,31.4,0
1099,57,65.88,5,3,22.0,1
1100,40,14.12,3,0,80.2,0
1101,21,88.44,2,0,83.3,0
1102,16,97.61,0,0,91.5,0
1103,45,97.2,1,0,62.9,0
1104,18,77.47,0,0,107.8,0
1105,47,21.71,2,0,112.7,0
1106,53,78.24,0,0,97.8,0
1107,24,12.21,0,1,78.1,0
1108,26,11.99,2,0,39.9,0
1109,25,39.12,2,1,118.0,0
1110,45,53.98,1,0,36.5,0
1111,41,79.34,2,0,28.3,0
1112,29,71.5,1,0,55.8,0
1113,15,50.13,1,0,11.5,1
1114,45,34.63,1,0,117.5,0
1115,1,99.74,4,0,72.7,1
1116,25,48.36,0,0,69.0,0
1117,7,50.62,2,0,80.4,0
1118,9,24.73,0,0,62.2,0
1119,24,81.53,1,0,8.7,1
1120,1,72.43,1,0,75.4,0
1121,44,29.87,1,3,87.4,0
1122,8,17.41,1,1,52.9,0
1123,24,71.24,5,0,92.1,1
1124,11,68.91,1,2,31.1,1
1125,51,34.59,1,2,30.4,0
1126,17,95.58,0,0,23.6,0
1127,8,23.6,3,0,47.8,1
1128,35,48.91,2,3,102.4,0
1129,35,94.93,0,0,100.2,0
1130,33,47.78,1,2,49.0,1
1131,59,67.47,0,0,72.7,0
1132,5,45.78,2,0,87.9,0
1133,42,34.68,1,0,32.7,0
1134,39,98.56,1,0,24.3,0
1135,58,46.84,3,1,116.8,0
1136,41,90.47,3,3,76.0,1
1137,28,30.7,4,0,117.9,0
1138,7,29.18,2,0,43.8,1
1139,9,12.8,1,1,85.8,0
1140,8,68.65,3,0,30.6,1
1141,12,43.17,0,0,35.0,0
1142,34,87.79,5,0,63.9,1
1143,33,52.59,0,1,41.8,0
1144,48,97.14,2,1,24.3,1
1145,55,26.7,2,0,35.2,0
1146,23,88.18,3,0,9.1,1
1147,24,79.89,1,3,86.0,1
1148,37,79.38,2,0,61.6,0
1149,35,86.03,2,0,15.8,1
1150,44,78.49,1,0,24.7,0
1151,40,66.36,0,1,16.8,0
1152,22,21.81,5,0,75.4,1
1153,27,12.93,2,0,15.8,0
1154,35,92.88,0,0,91.7,0
1155,1,65.5,1,0,7.4,1
1156,35,81.69,3,0,33.7,1
1157,37,53.34,0,0,107.4,0
1158,47,20.56,0,0,87.6,0
